REF_DATE,Type of currency,VALUE
2023-01-01,"Australian dollar, daily average",
2023-01-02,"Australian dollar, daily average",
2023-01-03,"Australian dollar, daily average",0.9196
2023-01-04,"Australian dollar, daily average",0.9256
2023-01-05,"Australian dollar, daily average",0.9171
2023-01-06,"Australian dollar, daily average",0.922
2023-01-07,"Australian dollar, daily average",
2023-01-08,"Australian dollar, daily average",
2023-01-09,"Australian dollar, daily average",0.9274
2023-01-10,"Australian dollar, daily average",0.9241
2023-01-11,"Australian dollar, daily average",0.9265
2023-01-12,"Australian dollar, daily average",0.9303
2023-01-13,"Australian dollar, daily average",0.9326
2023-01-14,"Australian dollar, daily average",
2023-01-15,"Australian dollar, daily average",
2023-01-16,"Australian dollar, daily average",0.9321
2023-01-17,"Australian dollar, daily average",0.9343
2023-01-18,"Australian dollar, daily average",0.9391
2023-01-19,"Australian dollar, daily average",0.93
2023-01-20,"Australian dollar, daily average",0.9331
2023-01-21,"Australian dollar, daily average",
2023-01-22,"Australian dollar, daily average",
2023-01-23,"Australian dollar, daily average",0.9383
2023-01-24,"Australian dollar, daily average",0.9409
2023-01-25,"Australian dollar, daily average",0.949
2023-01-26,"Australian dollar, daily average",0.9486
2023-01-27,"Australian dollar, daily average",0.9462
2023-01-28,"Australian dollar, daily average",
2023-01-29,"Australian dollar, daily average",
2023-01-30,"Australian dollar, daily average",0.9443
2023-01-31,"Australian dollar, daily average",0.9401
2023-02-01,"Australian dollar, daily average",0.9435
2023-02-02,"Australian dollar, daily average",0.9445
2023-02-03,"Australian dollar, daily average",0.9317
2023-02-04,"Australian dollar, daily average",
2023-02-05,"Australian dollar, daily average",
2023-02-06,"Australian dollar, daily average",0.9247
2023-02-07,"Australian dollar, daily average",0.93
2023-02-08,"Australian dollar, daily average",0.9318
2023-02-09,"Australian dollar, daily average",0.9351
2023-02-10,"Australian dollar, daily average",0.9252
2023-02-11,"Australian dollar, daily average",
2023-02-12,"Australian dollar, daily average",
2023-02-13,"Australian dollar, daily average",0.9284
2023-02-14,"Australian dollar, daily average",0.9311
2023-02-15,"Australian dollar, daily average",0.9238
2023-02-16,"Australian dollar, daily average",0.9256
2023-02-17,"Australian dollar, daily average",0.9254
2023-02-18,"Australian dollar, daily average",
2023-02-19,"Australian dollar, daily average",
2023-02-20,"Australian dollar, daily average",
2023-02-21,"Australian dollar, daily average",0.9278
2023-02-22,"Australian dollar, daily average",0.9234
2023-02-23,"Australian dollar, daily average",0.9222
2023-02-24,"Australian dollar, daily average",0.9168
2023-02-25,"Australian dollar, daily average",
2023-02-26,"Australian dollar, daily average",
2023-02-27,"Australian dollar, daily average",0.9135
2023-02-28,"Australian dollar, daily average",0.9173
2023-03-01,"Australian dollar, daily average",0.9196
2023-03-02,"Australian dollar, daily average",0.9152
2023-03-03,"Australian dollar, daily average",0.9197
2023-03-04,"Australian dollar, daily average",
2023-03-05,"Australian dollar, daily average",
2023-03-06,"Australian dollar, daily average",0.9165
2023-03-07,"Australian dollar, daily average",0.9071
2023-03-08,"Australian dollar, daily average",0.9096
2023-03-09,"Australian dollar, daily average",0.9114
2023-03-10,"Australian dollar, daily average",0.9119
2023-03-11,"Australian dollar, daily average",
2023-03-12,"Australian dollar, daily average",
2023-03-13,"Australian dollar, daily average",0.9159
2023-03-14,"Australian dollar, daily average",0.9131
2023-03-15,"Australian dollar, daily average",0.912
2023-03-16,"Australian dollar, daily average",0.9138
2023-03-17,"Australian dollar, daily average",0.9196
2023-03-18,"Australian dollar, daily average",
2023-03-19,"Australian dollar, daily average",
2023-03-20,"Australian dollar, daily average",0.9179
2023-03-21,"Australian dollar, daily average",0.9135
2023-03-22,"Australian dollar, daily average",0.9171
2023-03-23,"Australian dollar, daily average",0.9169
2023-03-24,"Australian dollar, daily average",0.9142
2023-03-25,"Australian dollar, daily average",
2023-03-26,"Australian dollar, daily average",
2023-03-27,"Australian dollar, daily average",0.9091
2023-03-28,"Australian dollar, daily average",0.9124
2023-03-29,"Australian dollar, daily average",0.907
2023-03-30,"Australian dollar, daily average",0.9071
2023-03-31,"Australian dollar, daily average",0.906
2023-04-01,"Australian dollar, daily average",
2023-04-02,"Australian dollar, daily average",
2023-04-03,"Australian dollar, daily average",0.9107
2023-04-04,"Australian dollar, daily average",0.9065
2023-04-05,"Australian dollar, daily average",0.9036
2023-04-06,"Australian dollar, daily average",0.8995
2023-04-07,"Australian dollar, daily average",
2023-04-08,"Australian dollar, daily average",
2023-04-09,"Australian dollar, daily average",
2023-04-10,"Australian dollar, daily average",0.8972
2023-04-11,"Australian dollar, daily average",0.8971
2023-04-12,"Australian dollar, daily average",0.9002
2023-04-13,"Australian dollar, daily average",0.905
2023-04-14,"Australian dollar, daily average",0.8982
2023-04-15,"Australian dollar, daily average",
2023-04-16,"Australian dollar, daily average",
2023-04-17,"Australian dollar, daily average",0.8971
2023-04-18,"Australian dollar, daily average",0.9008
2023-04-19,"Australian dollar, daily average",0.9034
2023-04-20,"Australian dollar, daily average",0.9089
2023-04-21,"Australian dollar, daily average",0.9062
2023-04-22,"Australian dollar, daily average",
2023-04-23,"Australian dollar, daily average",
2023-04-24,"Australian dollar, daily average",0.9055
2023-04-25,"Australian dollar, daily average",0.9033
2023-04-26,"Australian dollar, daily average",0.9
2023-04-27,"Australian dollar, daily average",0.9009
